DATE,CA,NY
1/1/2005,1711573.3,990783.8
4/1/2005,1734383.7,1005652.3
7/1/2005,1771679.5,1022931.6
10/1/2005,1797828.4,1040817.5
1/1/2006,1852200,1065894.4
4/1/2006,1859177.9,1067148.4
7/1/2006,1883269.3,1066409.1
10/1/2006,1904301.9,1086120.4
1/1/2007,1916188.9,1132679
4/1/2007,1940770.5,1102821.1
7/1/2007,1966137.7,1103950.7
10/1/2007,2000327,1096133.3
1/1/2008,1971753.2,1109751.6
4/1/2008,2012750.2,1095270.6
7/1/2008,2019835.1,1103284.3
10/1/2008,1958374.3,1088631.2
1/1/2009,1946951.6,1105235
4/1/2009,1912526.5,1152232.9
7/1/2009,1903464.3,1166723.5
10/1/2009,1917304.9,1187057
1/1/2010,1942648.5,1205081.8
4/1/2010,1959030,1230182.8
7/1/2010,1972332.3,1214906.1
10/1/2010,2024447.3,1205617
1/1/2011,2030621.9,1232852.8
4/1/2011,2047761.8,1227128.4
7/1/2011,2054554,1232761.5
10/1/2011,2067289.5,1251503
1/1/2012,2110366.4,1285456.5
4/1/2012,2125748.5,1313949.7
7/1/2012,2149461.7,1334240.5
10/1/2012,2192412.4,1356145.1
1/1/2013,2203605.7,1329182.4
4/1/2013,2231370.7,1344420.3
7/1/2013,2273105.2,1360840.3
10/1/2013,2343003.1,1387882.4
1/1/2014,2329114.5,1391893
4/1/2014,2372268.1,1414488.4
7/1/2014,2429647.3,1441665.2
10/1/2014,2449619.5,1461934.3
1/1/2015,2503944.7,1469900.6
4/1/2015,2559187.2,1495699.9
7/1/2015,2574128.9,1503449.4
10/1/2015,2577828.2,1481966.4
1/1/2016,2618837.1,1525136.4
4/1/2016,2637628.3,1541157.5
7/1/2016,2672126.3,1539131.7
10/1/2016,2702598.9,1552795.3
1/1/2017,2744565.4,1587759.4
4/1/2017,2791563.5,1586852.6
7/1/2017,2838905.5,1605534.5
10/1/2017,2901408.2,1636387.8
1/1/2018,2928096.5,1643465.7
4/1/2018,2992622.8,1668085.1
7/1/2018,3017340.5,1683970
10/1/2018,3052871.3,1679944
1/1/2019,3087669.4,1707519.5
4/1/2019,3123731.5,1727702.6
7/1/2019,3155223.7,1740745.3
10/1/2019,3183251.3,1751674.2
