DATE,EU,UK
1/1/1975,.,24785
4/1/1975,.,26323
7/1/1975,.,27928
10/1/1975,.,30238
1/1/1976,.,30153
4/1/1976,.,30954
7/1/1976,.,32710
10/1/1976,.,35633
1/1/1977,.,34845
4/1/1977,.,36588
7/1/1977,.,38299
10/1/1977,.,41083
1/1/1978,.,40704
4/1/1978,.,42595
7/1/1978,.,44574
10/1/1978,.,47289
1/1/1979,.,46344
4/1/1979,.,50000
7/1/1979,.,53520
10/1/1979,.,57430
1/1/1980,.,57154
4/1/1980,.,58794
7/1/1980,.,61970
10/1/1980,.,65180
1/1/1981,.,63697
4/1/1981,.,65268
7/1/1981,.,67943
10/1/1981,.,72176
1/1/1982,.,70779
4/1/1982,.,71756
7/1/1982,.,74192
10/1/1982,.,78085
1/1/1983,.,77655
4/1/1983,.,77774
7/1/1983,.,81695
10/1/1983,.,85876
1/1/1984,.,83893
4/1/1984,.,83063
7/1/1984,.,86844
10/1/1984,.,93148
1/1/1985,.,91443
4/1/1985,.,92009
7/1/1985,.,96331
10/1/1985,.,101469
1/1/1986,.,99829
4/1/1986,.,99032
7/1/1986,.,102377
10/1/1986,.,109073
1/1/1987,.,107732
4/1/1987,.,108856
7/1/1987,.,116802
10/1/1987,.,122575
1/1/1988,.,121601
4/1/1988,.,123357
7/1/1988,.,129557
10/1/1988,.,137155
1/1/1989,.,135178
4/1/1989,.,136777
7/1/1989,.,143601
10/1/1989,.,150956
1/1/1990,.,147545
4/1/1990,.,150696
7/1/1990,.,156412
10/1/1990,.,161022
1/1/1991,.,155894
4/1/1991,.,158327
7/1/1991,.,164049
10/1/1991,.,169697
1/1/1992,.,165029
4/1/1992,.,164124
7/1/1992,.,168118
10/1/1992,.,174901
1/1/1993,.,170799
4/1/1993,.,171919
7/1/1993,.,178491
10/1/1993,.,186525
1/1/1994,.,181910
4/1/1994,.,181253
7/1/1994,.,187495
10/1/1994,.,194537
1/1/1995,1776636.5,207208
4/1/1995,1819739.8,207339
7/1/1995,1832253.3,213418
10/1/1995,1936764.2,222197
1/1/1996,1857978.8,220550
4/1/1996,1924014.4,222572
7/1/1996,1930021,227775
10/1/1996,2041357.4,236348
1/1/1997,1942632.5,232600
4/1/1997,2038581.5,235404
7/1/1997,2053052.3,241310
10/1/1997,2162113.9,242971
1/1/1998,2069143.9,244084
4/1/1998,2136314.6,244257
7/1/1998,2138827.6,250804
10/1/1998,2241002,257229
1/1/1999,2139956.5,255831
4/1/1999,2228742.9,254429
7/1/1999,2246001.4,261386
10/1/1999,2396682.3,268245
1/1/2000,2324508.3,270722
4/1/2000,2400179.7,270445
7/1/2000,2402167.8,275006
10/1/2000,2541970.3,279478
1/1/2001,2431314.3,282995
4/1/2001,2513179.9,281235
7/1/2001,2500637.1,286279
10/1/2001,2630737.6,288970
1/1/2002,2521103.1,290911
4/1/2002,2598595.8,293468
7/1/2002,2596766.7,300448
10/1/2002,2717638.1,305774
1/1/2003,2570266.6,311532
4/1/2003,2615825.9,308024
7/1/2003,2633961.3,315826
10/1/2003,2766837.4,322092
1/1/2004,2671905.6,326351
4/1/2004,2772521.8,323939
7/1/2004,2769273.9,331861
10/1/2004,2901456.1,337977
1/1/2005,2771869.9,342522
4/1/2005,2899261.5,344897
7/1/2005,2883891.9,349460
10/1/2005,3049662.9,359395
1/1/2006,2943848.1,366462
4/1/2006,3042171.4,360077
7/1/2006,3052236,371470
10/1/2006,3240185.2,376914
1/1/2007,3141064.4,384753
4/1/2007,3229072.7,377447
7/1/2007,3235028.2,389424
10/1/2007,3400918,398197
1/1/2008,3218267.1,404096
4/1/2008,3301648.3,394713
7/1/2008,3264041.8,395530
10/1/2008,3299715.1,395592
1/1/2009,2973759.7,388041
4/1/2009,3062970.7,380133
7/1/2009,3078264.5,387704
10/1/2009,3210727.9,391685
1/1/2010,3060696.8,397761
4/1/2010,3200882.6,395751
7/1/2010,3220460.3,400852
10/1/2010,3363987.1,407563
1/1/2011,3229590.3,417878
4/1/2011,3299281.9,407071
7/1/2011,3289869.8,412440
10/1/2011,3417459,422395
1/1/2012,3277430.1,426793
4/1/2012,3355223.9,419089
7/1/2012,3379565,428168
10/1/2012,3490729.6,438271
1/1/2013,3284376.4,440096
4/1/2013,3395065,439808
7/1/2013,3399518.9,444191
10/1/2013,3537796,458014
1/1/2014,3398355.9,464316
4/1/2014,3498025.1,461656
7/1/2014,3528436.4,462886
10/1/2014,3667944.7,473106
1/1/2015,3562926.8,474141
4/1/2015,3699396.1,474420
7/1/2015,3719684.8,476712
10/1/2015,3873276.8,491623
1/1/2016,3646656.3,491845
4/1/2016,3770861,496920
7/1/2016,3708708.2,495160
10/1/2016,3859097.8,511554
1/1/2017,3723676.3,515850
4/1/2017,3838437.4,512093
7/1/2017,3831437.4,513359
10/1/2017,4016387.1,530365
1/1/2018,3845071.5,529837
4/1/2018,3963431.5,530412
7/1/2018,3955722.4,535871
10/1/2018,4143910.6,548184
1/1/2019,3981337.6,552223
4/1/2019,4090326.1,547260
7/1/2019,4086598.9,551202
10/1/2019,4287091.9,564203
1/1/2020,.,552534
